tumor,signal,Signature_3_ml,Signature_3_c,Signature_3_l_rat,Signature_3_wl,rat_sig3,Signature_other_c4_ml,exp_sig3,total_snvs,Signature_3_c1_ml,Signature_3_c2_ml,Signature_3_c3_ml,Signature_3_c4_ml
PD11753,1,0.003211464,0.365435332,0.499254763,0.621745486,0.198128911,0.000143191,3.566320398,18,0.001143031,0.000902759,6.89E-05,0.001096754
PD11756,0,0.321770385,0.289973579,0.459153735,0.033954134,0.226658728,0.194685123,1.813269824,8,0.094594817,0.042226015,0.07745029,0.107499263
PD11760,0,0.157466071,0.16577118,0,0.000935145,0,0.176237864,0,7,0.036112642,0.053907741,0.008775576,0.058670112
PD11819,0,0.183278911,0.183524033,0,5.28E-07,0,0.202829109,0,5,0.040691385,0.032402316,0.041987425,0.068197786
PD13164,0,0.245580499,0.237687714,0.562307672,0.00626535,0.242630152,0.198119087,2.183671371,9,0.065696108,0.072149717,0.006020762,0.101713912
PD13165,0,0.338216746,0.287499869,0.89520243,0.058841847,0.204415204,0.038109476,3.475058469,17,0.017315816,0.00142509,0.2939774,0.02549844
PD13166,0,0.180036215,0.208590413,0,0.00031581,0,0.194028311,0,6,0.047411058,0.035077426,0.03217809,0.065369641
PD13297,1,0.101822979,0.245182017,0,7.43E-15,0,0.440111668,0,13,0.030875887,0.016480837,0.00928679,0.045179464
PD13298,1,0.057067994,0.254038914,0,1.22E-11,0,0.093545388,0,13,0.00381183,0,0.046140241,0.007115923
PD13299,1,0.57983526,0.468149323,0.424728047,0.005797045,0.263251628,3.07E-07,5.001780924,19,0.000317757,4.32E-07,0.579437365,7.97E-05
PD13302,0,0.117752037,0.179576254,0.563187344,1.58E-05,0.032436088,0.178053261,0.227052614,7,0.024128999,0.048314497,0.001059405,0.044249136
PD13304,0,0.048253518,0.137201939,0,7.94E-14,0,0.1884691,0,6,0.009049989,0.018932502,0,0.020271027
PD13306,0,0.389077342,0.201532775,0.507788146,0.001721519,0.027985779,0.149198963,0.22388623,8,0.100214379,0.136217952,0.009714893,0.142930119
PD13307,0,0.277431697,0.249922079,0,0.002702838,0,0.240310704,0,11,0.063463343,0.044677405,0.059514002,0.109776947
PD13310,0,0.294343042,0.231983638,0,0.000672339,0,0.157181426,0,8,0.076214519,0.0968378,0.006927748,0.114362975
PD13311,1,0.408227148,0.221316336,0,0.170307847,0,0.047901791,0,7,0.099509425,0.181090564,0.005250475,0.122376684
PD13416,0,0.057088633,0.190319127,0,4.28E-11,0,0.185685,0,8,0.010455033,0.02463368,0,0.02199992
PD13418,0,0.265196224,0.306944939,0,0.27862428,0,0.00048034,0,9,0.002337645,7.29E-05,0.261028289,0.001757438
PD13420,0,0.449436012,0.179502062,0,0.348983249,0,0.157571805,0,5,0.130170017,0.095925077,0.062466802,0.160874116
PD13425,1,0.002599819,0.435159945,0.639191936,1,0.140896841,3.30E-30,12.82161251,91,1.12E-22,3.19E-36,0.002599819,2.80E-24
PD13426,0,0.409008554,0.283538444,0,0.017360873,0,0.028379218,0,9,0.076897246,0.214436849,0.00329537,0.114379089
PD13427,0,0.301592717,0.217494211,0,0.074718884,0,0.147799313,0,5,0.070173459,0.083314016,0.056733025,0.091372217
PD13428,0,0.255285599,0.246717033,0,0.662647375,0,0.027427607,0,8,0.064901805,0.100373862,0.006471336,0.083538596
PD13602,1,0.826701435,0.370295559,0.600018553,0.757266155,0.403306879,0.031037915,6.049603182,15,0.248634398,0.351107998,0.001901677,0.225057362
PD13604,0,2.48E-17,0.369602895,0.744257633,2.35E-30,0.020247625,1.30E-76,3.219372386,159,1.30E-65,0,2.48E-17,8.99E-69
PD13606,0,0.055742984,0.290547995,0,0.001532338,0,0.023436011,0,13,0.008784554,0.027620315,0.000190751,0.019147364
PD13609,0,0.504727829,0.215866177,0.813466315,0.132530188,0.405831764,0.029484477,2.029158821,5,0.082417375,0.02636396,0.326064342,0.069882153
PD13619,0,0.28981257,0.26375369,0,0.001393452,0,0.093453578,0,12,0.039598232,0.156728414,0.001222634,0.092263291
PD13620,0,0.79169869,0.232247265,0.611538427,0.801662311,0.242703295,0.031375989,2.184329659,9,0.244575784,0.325991326,0.014010945,0.207120635
PD13622,0,0.441788032,0.277328955,0,0.557930928,0,0.104808266,0,7,0.109358047,0.144459362,0.0254294,0.162541222
PD13625,0,0.034281568,0.303457613,0,2.29E-06,0,0.018049187,0,17,0.005099442,0.013500969,0.000136502,0.015544655
PD13627,1,0.91165349,0.307910468,0.979473063,0.999644085,0.401745279,0.00312576,4.017452794,10,0.275094735,0.480765396,0.003956112,0.151837247
PD13629,0,0.013355804,0.166322804,0,2.92E-14,0,0.352264414,0,9,0.002902468,0.002371905,0,0.008081431
PD13630,0,0.428454677,0.311636153,0,0.117911519,0,0.030069844,0,13,0.149351135,0.044072167,0.078584069,0.156447307
PD13631,0,0.206642574,0.147768222,0,0.026264697,0,0.102127055,0,5,0.049776596,0.073216048,0.013722565,0.069927364
PD13758,0,0.789206605,0.336047769,0.807803002,0.984031454,0.573773316,0.025896858,4.016413215,7,0.297637912,0.22734563,0.039185727,0.225037336
PD13761,0,0.2019007,0.231154305,0.656458836,0.001115586,0.322785472,0.222202762,1.61392736,5,0.056511635,0.054743069,0.018196317,0.072449679
PD13764,1,0.737925039,0.283963325,0.672635851,0.522101442,0.351107214,0.047992804,2.457750501,7,0.239048339,0.182480829,0.095261153,0.221134718
PD13767,0,0.570473677,0.242139746,0.977321901,0.97347156,0.600232899,0.034583632,3.001164495,5,0.167620883,0.074626289,0.205706502,0.122520003
PD13768,0,0.261331505,0.283290838,0,0.000734644,0,0.00561843,0,10,0.07435139,0.107366861,0.002766851,0.076846404
PD13770,0,0.225666945,0.197438129,0,0.001833144,0,0.208965016,0,6,0.051082368,0.039331942,0.063666209,0.071586426
PD13771,1,0.993043921,0.491511154,0,0.999836605,0,0.000756937,0,26,0.517985788,0.017895851,0.219198571,0.237963712
PD14433,0,0.020887591,0.253739435,0,3.76E-10,0,0.001995748,0,9,0.000166718,0,0.020457647,0.000263226
PD14435,0,0.025647581,0.191643599,0,2.30E-13,0,0.169572442,0,12,0.003107254,0.011532811,5.13E-05,0.010956201
PD14442,0,0.559513411,0.226669756,0.491488558,0.006460221,0.03000424,0.076480401,0.240033918,8,0.129328392,0.255330147,0.003378009,0.171476863
PD14450,0,0.213334396,0.151716904,0,0.000366633,0,0.194579698,0,5,0.052322539,0.047349696,0.032931831,0.08073033
PD14453,1,0.954498317,0.415242706,0,0.998648353,0,0.007830912,0,19,0.511506021,0.067123778,0.096190471,0.279678046
PD14456,0,0.420167172,0.367630535,0.682618755,0.334417038,0.334880767,0.090836113,4.018569207,12,0.103392628,0.181858791,0.005633029,0.129282724
PD14460,0,0.16949888,0.303834871,0,9.72E-06,0,0.36032985,0,14,0.036669029,0.0150867,0.035941182,0.081801969
PD14461,0,0.287063139,0.211976475,0.474101487,0.00307703,0.365881126,0.162242472,1.829405632,5,0.071017965,0.051848019,0.077365587,0.086831568
PD14468,0,0.471856275,0.23117922,0,0.629172415,0,0.090730001,0,5,0.11574307,0.207386069,0.012759328,0.135967807
PD14472,0,0.224909226,0.264951695,0,0.000159659,0,0.266101174,0,12,0.043948405,0.022977416,0.08051601,0.077467395
PD14473,0,0.076441513,0.103518512,0,1.94E-08,0,0.178395481,0,5,0.015490026,0.026839989,0.003574029,0.030537469
PD17994,0,0.180299538,0.238815587,0,0.001898872,0,0.086049287,0,6,0.025430046,0,0.122275019,0.032594473
PD18020,1,0.827859812,0.367705425,0.50057742,0.996338641,0.000384509,0.005344294,0.008459195,22,0.184401795,0.005851479,0.522648651,0.114957887
PD18022,0,0.303090317,0.213153801,0,0.000229085,0,0.134263675,0,5,0.068660401,0.041109336,0.10764064,0.08567994
PD18031,0,0.312558519,0.219862865,0.654202744,0.007156156,0.336578933,0.053683156,3.365789329,10,0.06325233,0.150760724,0.001105683,0.097439783
